par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
74,0.860556438,0.890310786,0.818405882,0.862639189,0.855887054,0.843302659,0.818859883,0.814672802,0.860953719,0.894469067,0.818367254,0.866882236,0.836953797,0.888233339,0.865761572,0.772276056,0.53845168,0.586787994,0.520656622,0.597700779,0.591664589,0.557857435,35003.0252,43489.8296
75,0.86352373,0.89158469,0.820453591,0.863602546,0.848868535,0.837018837,0.809806035,0.812175812,0.864762686,0.896053661,0.82135374,0.867814422,0.8400042,0.889683393,0.872463675,0.780506356,0.541202785,0.589441159,0.525479021,0.601786457,0.596732081,0.560695975,35306.04814,43799.21584
76,0.865948458,0.895235356,0.824735953,0.867066631,0.848593657,0.85761681,0.807600239,0.831075477,0.867266694,0.898255427,0.826037547,0.869956053,0.845078158,0.892646545,0.876675499,0.788642438,0.543761574,0.587069735,0.529865617,0.604760644,0.600748865,0.563194459,35538.12289,43889.54087
77,0.865381402,0.895545953,0.822290918,0.867126475,0.846035648,0.835543767,0.799631223,0.802239906,0.866792165,0.900096104,0.823943346,0.872047024,0.841674325,0.89348928,0.881403114,0.794826404,0.547509033,0.591292477,0.531182493,0.606265967,0.603410183,0.566658607,35921.7303,44376.63899
78,0.863392801,0.895256386,0.820294606,0.867686843,0.839475328,0.848861912,0.797626483,0.817905918,0.865118165,0.898643858,0.821929844,0.871321574,0.83992099,0.892922785,0.887602035,0.803327914,0.550043073,0.593106385,0.533914856,0.610773333,0.607396665,0.570268767,36538.03837,44910.08638
79,0.864349212,0.898561523,0.82281533,0.871075235,0.844626968,0.849104859,0.806639288,0.815217391,0.865636307,0.901985084,0.823870997,0.874941908,0.841684837,0.89585015,0.892285731,0.810635102,0.552474418,0.593997051,0.536370594,0.613035086,0.609685178,0.572201507,36598.63677,46922.58603
80,0.867631004,0.895235142,0.825831374,0.867142119,0.845442084,0.849522555,0.802604524,0.809680606,0.869079036,0.898297234,0.82734714,0.870991222,0.84588092,0.893416021,0.89676027,0.817123629,0.554794954,0.594592834,0.540995405,0.610921057,0.611424195,0.571629039,37473.50676,45107.90813
81,0.869624645,0.895680707,0.826306382,0.867387581,0.848207754,0.846023114,0.810534016,0.816111489,0.870931037,0.898890476,0.827268468,0.870701966,0.846703817,0.892750273,0.902965728,0.824991302,0.559017878,0.595906758,0.542798652,0.611761779,0.61458222,0.573579195,37364.93126,46155.10072
82,0.872362337,0.89777842,0.830958386,0.869533799,0.855871886,0.864480874,0.818505338,0.837887067,0.873397364,0.89977894,0.831740005,0.871435138,0.850483396,0.894454309,0.907086472,0.833734609,0.562093512,0.599149601,0.549252297,0.618411734,0.618151069,0.579819907,37890.86261,47523.95133
83,0.871171924,0.898612438,0.829621893,0.870695027,0.860437376,0.852774632,0.816302187,0.823329558,0.87176717,0.901281516,0.83036049,0.873453059,0.849467307,0.895787462,0.913044039,0.841161496,0.566944966,0.598517177,0.550402931,0.62016579,0.621638772,0.58047708,38291.77881,46060.28736
